age,species,score
22.542891843,Baboon,3.27958106921
4.48382569504,African giant pouched rat,1.97999954327
32.7486004448,Brazilian tapir,5.42975249254
38.4779334619,Brazilian tapir,5.22781571728
60.8411918804,Chimpanzee,7.32652212138
39.7696964358,African elephant,4.68808377839
13.5066482485,Big brown bat,2.0866148357
29.5520583037,African elephant,4.68333382359
31.6900706561,Brazilian tapir,4.56161570885
12.5957130294,Arctic Fox,3.22218369814
6.04482550947,Chinchilla,2.58081788813
17.7430759727,Big brown bat,3.90432471934
5.35765741484,Chinchilla,2.85232879192
15.6965957645,Big brown bat,2.01886938434
46.7568559133,Chimpanzee,5.605160955
25.0705200137,Brazilian tapir,5.32473493736
24.8289548102,Brazilian tapir,4.40439926335
29.5908966225,Baboon,4.74685844994
5.68188057747,Chinchilla,3.03926755272
27.4572084314,Cat,4.47463741663
23.4776464901,Baboon,4.47750323181
20.3118146152,Big brown bat,4.61405498911
6.13613217503,Chinchilla,0.748817743861
30.5522803022,Cat,5.45377951497
68.3228759137,Asian elephant,10.1330533929
20.9638157601,Cat,3.99778969714
64.3736769048,Asian elephant,9.14067366941
7.1730733394,Chinchilla,1.68303779895
59.5296292563,Asian elephant,8.65384546672
31.9575459487,Cat,6.29300371538
18.5924293,Big brown bat,2.3367068766
48.2022259595,Chimpanzee,6.87338564033
35.5515293621,Cat,4.84490337204
64.0435345054,Asian elephant,7.92700603419
58.5629035463,Chimpanzee,7.24207287808
25.8118841657,Brazilian tapir,4.48303137905
8.69669678282,Chinchilla,1.60425153236
34.2404976495,Baboon,6.09042243149
42.2056178252,Chimpanzee,5.73939034948
46.987202551,African elephant,5.63458506853
39.6875420798,Chimpanzee,4.71976710463
27.6486755683,Baboon,4.76236272558
31.2066073354,Cat,6.0267844417
15.0067190636,Big brown bat,3.15454370004
4.87751310712,African giant pouched rat,0.56179600794
17.7856038944,Big brown bat,4.57572452155
6.98164449802,Chinchilla,2.26652261965
41.6182687008,Chimpanzee,5.0541205433
8.33244120065,Chinchilla,1.64918507321
4.34485568177,African giant pouched rat,1.64947348555
39.3988545501,Brazilian tapir,5.31660059971
82.1753664563,Asian elephant,12.1070271462
30.838504421,African elephant,6.09798766938
64.8989662046,Asian elephant,9.28888212601
42.3088527095,African elephant,5.04736001137
3.66506743319,African giant pouched rat,1.05108798188
30.4546685186,African elephant,4.6557790698
40.4668797791,Chimpanzee,4.93360670054
11.5054051292,Arctic Fox,1.5881614663
19.5656364431,Big brown bat,4.73044046477
7.43250132108,Chinchilla,1.49730286772
5.40689329007,African giant pouched rat,1.09373181579
30.2900799766,Baboon,5.49593549299
3.80227640819,African giant pouched rat,0.983425647429
27.0582575899,Cat,4.42217078965
18.9357048006,Big brown bat,4.21687750577
16.4838521591,Big brown bat,2.32174125807
40.4649622366,African elephant,5.45330420802
60.1744585431,Chimpanzee,7.60539716009
50.7632759545,Asian elephant,7.66892926901
14.5221914443,Big brown bat,2.26476993371
59.9764632591,Chimpanzee,7.81538447877
4.00583256544,African giant pouched rat,1.16563444855
79.4392279872,Asian elephant,11.9328357283
7.46326881392,Chinchilla,1.07841160072
8.4423746549,Chinchilla,2.29146738926
18.0283611204,Arctic Fox,3.64175142483
21.9516613443,Brazilian tapir,4.08950082682
5.83376985208,African giant pouched rat,2.4016783109
17.3831808169,Big brown bat,3.22706739667
3.82024642394,African giant pouched rat,1.7597319733
8.3553141055,Chinchilla,2.05347982388
28.4452521094,African elephant,5.00262877156
43.9216595281,Chimpanzee,5.95717766869
80.1929403008,Asian elephant,9.90897653577
3.60275806152,African giant pouched rat,1.08955169036
32.7945722334,Cat,6.47480639137
5.73084088193,African giant pouched rat,1.04165690351
14.3419917709,Big brown bat,2.50112346239
29.9922769955,Baboon,4.80327398678
12.3472079153,Arctic Fox,2.73333033461
60.5327652068,Chimpanzee,7.36850545916
29.739286968,Baboon,4.86387943136
7.22482746149,Chinchilla,1.77058025379
59.2619505028,Chimpanzee,7.51041307614
24.465492901,Big brown bat,5.03428686421
13.1723068544,Arctic Fox,2.33386048343
27.4541669229,Brazilian tapir,5.92618147985
24.1620601812,Baboon,5.1957509522
48.9863549522,African elephant,6.81715095222
34.5627152754,Brazilian tapir,6.50964536783
7.05935391267,Chinchilla,1.85559967124
64.2207850402,Asian elephant,9.43428345054
30.1178198094,African elephant,5.6690267724
44.0518608185,African elephant,6.56355869338
10.8924814474,Arctic Fox,2.28440614034
36.2110197906,Chimpanzee,4.21826139587
80.0837852051,Asian elephant,11.4026188737
22.1319831354,Brazilian tapir,4.2789784376
41.304827365,Chimpanzee,5.39341035837
15.1334577285,Arctic Fox,2.36581672898
14.1122329361,Big brown bat,1.98076234594
62.4519572529,Asian elephant,7.4968922472
86.8619015479,Asian elephant,12.5797149989
6.32093231841,Chinchilla,1.80839542335
78.2107251863,Asian elephant,11.5301486962
11.4662881071,Arctic Fox,2.20382368644
26.9256015468,Cat,3.90809695997
11.0063502498,Arctic Fox,2.55507546931
20.3869722453,Cat,3.21660454262
48.679820672,Chimpanzee,5.76077712211
59.5860817237,Asian elephant,8.14801713038
